peso_carne_g,tipo_pan,nivel_coccion,cantidad_queso_g,cantidad_salsa_ml,vegetales,cantidad_papas_g,gaseosa_ml,precio_usd,calidad
139.35216527393055,integral,crudo,37.266089447027454,11,cebolla,103.62348700529867,494,8.3,mala
85.69384669663542,ajonjoli,crudo,33.68808454203506,23,cebolla,127.26186109741819,343,5.85,regular
175.6612628399921,ajonjoli,bien_cocido,44.41893491926984,10,cebolla,106.90260120440344,306,6.8,regular
209.27712162565973,integral,crudo,46.972968220441075,23,ninguno,125.21915380231948,319,11.95,buena
109.39764076947932,blanco,crudo,49.06197747734439,10,ninguno,169.94426566297824,371,5.44,mala
136.0387575477916,blanco,bien_cocido,19.980381601575523,23,lechuga,153.5507336655907,373,7.79,regular
229.8780442335024,ajonjoli,crudo,28.70200903912948,12,ninguno,122.78991888374742,457,10.85,mala
190.49559016488303,blanco,bien_cocido,24.759429593593175,20,tomate,135.8391289537081,349,14.89,mala
178.7864088108746,ajonjoli,bien_cocido,38.17325059559325,27,ninguno,106.6035209590921,484,11.71,mala
146.20464395717607,blanco,medio,39.353495233019316,11,tomate,178.09266883568893,402,7.82,mala
221.3875597461234,ajonjoli,bien_cocido,42.521360776177396,15,lechuga,135.1808585675335,475,7.36,excelente
206.14896663504857,integral,bien_cocido,41.90796941713413,20,tomate,109.33693321146048,283,13.87,regular
170.30671585015034,integral,medio,37.134221960815815,23,ninguno,142.53680290124015,262,9.82,mala
191.20052785543965,integral,crudo,11.936940832163323,23,lechuga,160.41661012682505,436,14.04,mala
149.42377540430942,ajonjoli,crudo,25.528055080996253,15,ninguno,196.50115092536586,490,13.57,regular
234.2518600643736,ajonjoli,bien_cocido,14.211839209935789,5,lechuga,113.67368293579275,408,14.55,buena
177.8815663651585,integral,bien_cocido,25.26262329097473,23,ninguno,53.99054135077673,492,6.05,buena
198.6536708645526,ajonjoli,medio,29.862649223233134,13,lechuga,152.22664993983193,304,13.38,mala
106.8965650989122,integral,crudo,10.615209941839737,23,tomate,50.68709492961459,260,12.4,buena
215.36710705209023,blanco,medio,23.74598531703932,5,lechuga,190.00507674128207,375,8.42,buena
240.03608078433098,ajonjoli,crudo,49.59633343719365,28,cebolla,166.47860610927273,412,11.53,excelente
99.12582618409539,ajonjoli,bien_cocido,38.55481013878118,11,cebolla,184.86925657123683,254,7.97,regular
185.38327969310347,integral,crudo,42.69684289385283,13,lechuga,54.26492633241788,391,5.1,mala
137.0432359862296,integral,medio,19.07893982412908,10,cebolla,57.76218647471286,361,7.28,excelente
152.40082919230844,ajonjoli,medio,40.761897936420056,25,tomate,71.7142636365651,277,5.78,mala
109.84958094608274,ajonjoli,medio,49.48408699941997,24,lechuga,80.02858097790215,404,11.09,regular
133.08013524325872,ajonjoli,medio,10.380867870456466,17,lechuga,90.08557806321987,477,9.04,buena
137.0596043445031,integral,crudo,28.566372868287715,29,cebolla,79.73997261118679,306,11.97,excelente
136.91859744329145,ajonjoli,bien_cocido,18.20906103695791,13,tomate,93.5331967955868,307,5.24,regular
